CommType,ID,ReceiveTime,SourceID,MsgId,PosTime,Lon,Lat,Cog,Sog,TrueHeading,NavigationStatus,ROT,PosAccuracy,A,B,C,D,E,F,G,H
1,412303930,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,70844322,22901910,3245.0,1.0,191.0,1.0,0.0,1,59,0,0.0,,,,,
1,412430520,2022-01-15 00:00:03,7,19,2022-01-15 00:00:00,73363747,17956664,3049.0,1.0,,,,0,0,0,0.0,0.0,,,,
1,413998166,2022-01-15 00:00:03,7,18,2022-01-14 23:59:58,71372900,19305510,2626.0,40.0,,,,1,58,1,1.0,0.0,1.0,0.0,393222.0,
1,413972761,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,71945776,19515534,3456.0,49.0,345.0,,,0,60,0,0.0,0.0,0.0,0.0,6003.0,
1,413776798,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,71580774,19313198,855.0,54.0,85.0,,,0,60,0,0.0,0.0,0.0,0.0,6003.0,
1,244710325,2022-01-15 00:00:03,7,1,2022-01-14 23:59:39,2979770,31427050,3292.0,3.0,,0.0,,1,39,1,0.0,,,,,
1,412303940,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,70928181,22963079,2966.0,0.0,227.0,1.0,0.0,1,59,0,0.0,,,,,
1,413457530,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,73363180,17965972,756.0,0.0,123.0,0.0,,0,0,0,0.0,,,,,
1,413018050,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,70653509,23387226,3228.0,0.0,29.0,5.0,0.0,1,60,0,0.0,,,,,
1,538005521,2022-01-15 00:00:03,7,1,2022-01-14 23:59:57,75747024,20853208,502.0,80.0,56.0,0.0,0.0,1,57,0,0.0,,,,,
1,413976137,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,71698561,19521780,3419.0,20.0,,0.0,-52.0,1,0,0,0.0,,,,,
1,413848871,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,67928280,13420359,1705.0,81.0,,0.0,,0,1,0,0.0,,,,,
1,244730209,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,4094091,32066945,2374.0,0.0,,8.0,,1,60,0,1.0,,,,,
1,563075450,2022-01-15 00:00:03,7,1,2022-01-14 23:59:53,62236227,786349,,0.0,,0.0,,0,53,0,1.0,,,,,
1,414238000,2022-01-15 00:00:03,9,1,2022-01-15 00:00:01,65467986,12476136,3105.0,102.0,315.0,0.0,0.0,0,1,0,0.0,,,,,
1,413849085,2022-01-15 00:00:03,9,19,2022-01-15 00:00:03,67905075,13518250,558.0,1.0,,,,0,60,0,0.0,1.0,,,,
1,413762712,2022-01-15 00:00:03,9,1,2022-01-15 00:00:02,68148447,13687109,0.0,0.0,,0.0,,0,2,0,0.0,,,,,
1,413905524,2022-01-15 00:00:03,9,18,2022-01-15 00:00:02,67043816,13886680,3041.0,37.0,,,,1,2,1,0.0,0.0,1.0,1.0,393222.0,
1,255805952,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,7640919,33179654,2927.0,90.0,289.0,0.0,0.0,0,60,0,0.0,,,,,
1,338224000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,-73403381,28560658,1436.0,0.0,59.0,0.0,0.0,1,60,0,0.0,,,,,
1,244265000,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,15512543,35956337,2531.0,101.0,255.0,0.0,-7.0,1,1,0,0.0,,,,,
1,635016400,2022-01-15 00:00:03,7,1,2022-01-15 00:00:02,-2448324,3162849,,0.0,,0.0,,0,2,0,0.0,,,,,
1,250000962,2022-01-15 00:00:03,7,3,2022-01-15 00:00:00,-5603390,22211290,3479.0,112.0,348.0,0.0,22.0,0,0,0,0.0,,,,,
1,353743000,2022-01-15 00:00:03,7,1,2022-01-14 23:59:58,83875686,21300494,3107.0,74.0,303.0,0.0,-127.0,1,58,0,0.0,,,,,
1,265609580,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,10863736,35615029,,0.0,,15.0,,1,2,0,1.0,,,,,
1,413765779,2022-01-15 00:00:03,7,18,2022-01-14 23:59:49,72051392,19022282,31.0,4.0,326.0,,,0,49,1,0.0,0.0,1.0,0.0,393216.0,
1,209968000,2022-01-15 00:00:03,7,3,2022-01-15 00:00:00,11444613,34423804,414.0,42.0,32.0,0.0,13.0,1,0,0,0.0,,,,,
1,413302410,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,70709908,23371325,2707.0,0.0,303.0,5.0,0.0,0,60,0,0.0,,,,,
1,413705520,2022-01-15 00:00:03,7,1,2022-01-14 23:59:04,72813306,22627131,2755.0,84.0,270.0,0.0,,0,4,0,1.0,,,,,
1,413998718,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,67198416,13852674,0.0,0.0,89.0,1.0,0.0,0,0,0,0.0,,,,,
1,413368440,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,73010693,17959557,3043.0,0.0,,0.0,,0,0,0,1.0,,,,,
1,412326550,2022-01-15 00:00:03,7,3,2022-01-14 23:59:57,72994680,24203410,0.0,2.0,0.0,1.0,0.0,0,57,0,0.0,,,,,
1,374402000,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,-5734129,25539591,1117.0,125.0,112.0,0.0,0.0,1,59,0,0.0,,,,,
1,413777443,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,72931632,18802732,3143.0,57.0,,5.0,,0,1,0,0.0,,,,,
1,412326550,2022-01-15 00:00:03,7,3,2022-01-14 23:59:58,72994680,24203410,0.0,2.0,359.0,1.0,0.0,0,58,0,0.0,,,,,
1,563709000,2022-01-15 00:00:03,7,1,2022-01-14 23:59:59,68214127,13565910,3460.0,1.0,168.0,5.0,-1.0,1,59,0,1.0,,,,,
1,413363910,2022-01-15 00:00:03,9,3,2022-01-14 23:59:56,70724316,22995762,1557.0,0.0,229.0,5.0,0.0,0,56,0,0.0,,,,,
1,413459460,2022-01-15 00:00:03,7,3,2022-01-14 23:59:57,73475892,18439187,1870.0,0.0,232.0,5.0,,1,57,0,0.0,,,,,
1,413989956,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,72010230,20130901,0.0,0.0,0.0,,,1,0,0,0.0,0.0,0.0,0.0,6003.0,
1,413999341,2022-01-15 00:00:03,7,1,2022-01-15 00:00:00,72126517,19152522,530.0,0.0,0.0,0.0,0.0,0,0,0,0.0,,,,,
1,413846555,2022-01-15 00:00:03,7,18,2022-01-15 00:00:00,68145202,14695727,434.0,56.0,43.0,,,0,0,1,1.0,1.0,1.0,0.0,393222.0,
1,413975542,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,71905824,19667878,1516.0,60.0,,,,1,1,1,0.0,0.0,1.0,0.0,393222.0,
1,413817416,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72440072,18489270,1636.0,40.0,,,,0,60,1,0.0,0.0,0.0,0.0,393222.0,
1,413804489,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72506232,19183370,1408.0,47.0,,,,1,60,1,1.0,0.0,0.0,0.0,393222.0,
1,440031670,2022-01-15 00:00:03,7,1,2022-01-14 23:59:58,75841410,22368810,2055.0,134.0,206.0,0.0,,1,58,0,1.0,,,,,
1,413848109,2022-01-15 00:00:03,7,1,2022-01-15 00:00:01,68269751,13516672,1491.0,0.0,0.0,15.0,0.0,0,1,0,0.0,,,,,
1,413764568,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72085373,18302183,0.0,0.0,,,,0,1,1,1.0,1.0,0.0,0.0,393222.0,
1,413771462,2022-01-15 00:00:03,7,18,2022-01-15 00:00:01,72230874,19209860,2386.0,42.0,,,,0,1,1,1.0,0.0,0.0,0.0,393222.0,
